adc_id,activity_id,standard_type,relation,value_numeric,units,payload_mechanism,reason
DRG0MQFRJ,ADCC001918,Half Maximal Effective Concentration (EC50),=,50.0,ug/mL,Other,non_molar_or_missing_value
DRG0NDXRU,ADCC006562,Half Maximal Effective Concentration (EC50),=,30.6,ug/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0NEMOV,ADCC006945,Tumor Growth Inhibition value (TGI),=,89.8,%,microtubule-disrupting,non_potency_endpoint
DRG0NLDTF,ADCC001927,Half Maximal Effective Concentration (EC50),=,0.03,ug/mL,Other,non_molar_or_missing_value
DRG0NLDTF,ADCC001928,Half Maximal Effective Concentration (EC50),=,50.0,ug/mL,Other,non_molar_or_missing_value
DRG0OIVTW,ADCC002528,Half Maximal Inhibitory Concentration (IC50),=,0.24,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0OIVTW,ADCC002529,Half Maximal Inhibitory Concentration (IC50),=,12.0,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0OTHET,ADCC002245,Half Maximal Effective Concentration (EC50),=,0.04,nM ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0OTHET,ADCC002244,Half Maximal Effective Concentration (EC50),=,0.07,nM ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0PFZZF,ADCC008155,Max inhibition rate (MIR),=,59.0,%,microtubule-disrupting,non_potency_endpoint
DRG0PFZZF,ADCC008150,Max inhibition rate (MIR),=,71.0,%,microtubule-disrupting,non_potency_endpoint
DRG0PFZZF,ADCC008145,Max inhibition rate (MIR),=,76.0,%,microtubule-disrupting,non_potency_endpoint
DRG0PFZZF,ADCC008170,Max inhibition rate (MIR),=,80.0,%,microtubule-disrupting,non_potency_endpoint
DRG0PFZZF,ADCC008180,Max inhibition rate (MIR),=,90.0,%,microtubule-disrupting,non_potency_endpoint
DRG0PFZZF,ADCC008165,Max inhibition rate (MIR),=,98.0,%,microtubule-disrupting,non_potency_endpoint
DRG0PFZZF,ADCC008175,Max inhibition rate (MIR),=,99.0,%,microtubule-disrupting,non_potency_endpoint
DRG0PFZZF,ADCC008160,Max inhibition rate (MIR),=,99.0,%,microtubule-disrupting,non_potency_endpoint
DRG0PNJIT,ADCC000002,Half Maximal Effective Concentration (EC50),=,411.0,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0PNJIT,ADCC000003,Half Maximal Effective Concentration (EC50),>,10.0,ug/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0PNJIT,ADCC000004,Half Maximal Effective Concentration (EC50),>,10.0,mg/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0PXQWR,ADCC006944,Tumor Growth Inhibition value (TGI),=,87.5,%,microtubule-disrupting,non_potency_endpoint
DRG0PXQWR,ADCC006942,Half Maximal Inhibitory Concentration (IC50),=,10.0,ug/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0PXQWR,ADCC006940,Half Maximal Inhibitory Concentration (IC50),=,10.0,ug/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0PXQWR,ADCC006938,Half Maximal Inhibitory Concentration (IC50),=,10.0,ug/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0PXQWR,ADCC006936,Half Maximal Inhibitory Concentration (IC50),=,10.0,ug/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0QBGIW,ADCC001887,Half Maximal Effective Concentration (EC50),=,0.29,ug/mL,Other,non_molar_or_missing_value
DRG0QBGIW,ADCC001888,Half Maximal Effective Concentration (EC50),=,5.8,ug/mL,Other,non_molar_or_missing_value
DRG0QCXIA,ADCC001863,Half Maximal Effective Concentration (EC50),=,0.03,ug/mL,Other,non_molar_or_missing_value
DRG0QCXIA,ADCC001864,Half Maximal Effective Concentration (EC50),=,0.77,ug/mL,Other,non_molar_or_missing_value
DRG0QRXDE,ADCC002248,Half Maximal Effective Concentration (EC50),=,0.04,nM ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0QRXDE,ADCC002247,Half Maximal Effective Concentration (EC50),=,0.07,nM ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0QUXXT,ADCC001427,Half Maximum Growth Inhibitory Concentration (GI50),=,2.62,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0RHAZG,ADCC000742,Half Maximal Effective Concentration (EC50),=,6.3,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0RHWVZ,ADCC001885,Half Maximal Effective Concentration (EC50),=,0.03,ug/mL,Other,non_molar_or_missing_value
DRG0RHWVZ,ADCC001886,Half Maximal Effective Concentration (EC50),=,1.4,ug/mL,Other,non_molar_or_missing_value
DRG0RMADH,ADCC001935,Half Maximal Effective Concentration (EC50),=,0.03,ug/mL,Other,non_molar_or_missing_value
